structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Visceral area, layer 2/3",1,1,2,0.34629,0.419941,0.766231,2.887753039,2.381286895
olfactory nerve layer of main olfactory bulb,2,0,2,1.390842,1.425496,2.816338,1.437977858,0
inferior cerebellar peduncle,2,0,2,0.186162,0.205223,0.391385,10.74333108,0
"Temporal association areas, layer 2/3",0,2,2,0.373091,0.367151,0.740242,0,5.44735
"Cortical amygdalar area, posterior part, lateral zone",0,1,1,0.523129,0.593912,1.117041,0,1.683751128
vestibular nerve,0,1,1,0.082584,0.081389,0.163973,0,12.28667265
Field CA1,0,1,1,4.65008,4.564765,9.214845,0,0.219069328
lateral ventricle,0,1,1,1.119951,1.116,2.235951,0,0.896057348
lateral lemniscus,0,1,1,0.349466,0.378925,0.728391,0,2.639044666
Lateral vestibular nucleus,0,1,1,0.114143,0.1183,0.232443,0,8.453085376
alveus,0,1,1,0.621656,0.640152,1.261808,0,1.562128994
Parvicellular motor 5 nucleus,0,1,1,0.025229,0.025732,0.050961,0,38.86211721
Flocculus,0,1,1,0.409663,0.440776,0.850439,0,2.268726065
Tuberal nucleus,0,1,1,0.252212,0.242086,0.494298,0,4.130763448
Parabrachial nucleus,0,1,1,0.433923,0.462813,0.896736,0,2.160699894
"Periventricular hypothalamic nucleus, posterior part",0,1,1,0.083081,0.079763,0.162844,0,12.53714128
facial nerve,1,0,1,0.045716,0.042876,0.088592,21.87417972,0
"Temporal association areas, layer 4",1,0,1,0.168458,0.1466,0.315058,5.936197747,0
"Paragigantocellular reticular nucleus, dorsal part",1,0,1,0.147253,0.131062,0.278315,6.79103312,0
"Tuberomammillary nucleus, dorsal part",1,0,1,0.023899,0.023412,0.047311,41.84275493,0
Medial accesory oculomotor nucleus,1,0,1,0.007675,0.007622,0.015297,130.2931596,0
root,1,0,1,1.615627,1.603924,3.219551,0.618954746,0
Motor nucleus of trigeminal,1,0,1,0.157622,0.171505,0.329127,6.34429204,0
"Gustatory areas, layer 1",1,0,1,0.123984,0.125618,0.249602,8.065556846,0
Parasubiculum,1,0,1,0.407878,0.434235,0.842113,2.451713503,0
"Perirhinal area, layer 2/3",1,0,1,0.21742,0.197734,0.415154,4.59939288,0
"Superior olivary complex, medial part",1,0,1,0.135345,0.145609,0.280954,7.38852562,0
"Midbrain reticular nucleus, retrorubral area",1,0,1,0.093545,0.093805,0.18735,10.69004223,0
Nodulus (X),1,0,1,0.7827,0.756986,1.539686,1.277628721,0
Anterior hypothalamic nucleus,1,0,1,0.416575,0.360851,0.777426,2.400528116,0
"Visceral area, layer 5",1,0,1,0.292953,0.329727,0.62268,3.413516844,0
Olfactory areas,1,0,1,1.903787,2.051269,3.955056,0.525268846,0
third ventricle,1,0,1,0.601699,0.678783,1.280482,1.661960548,0
"Agranular insular area, posterior part, layer 2/3",1,0,1,0.531934,0.531087,1.063021,1.879932473,0
Supratrigeminal nucleus,1,0,1,0.130057,0.146532,0.276589,7.688936389,0
columns of the fornix,0,1,1,0.127707,0.129221,0.256928,0,7.738680245
"Tuberomammillary nucleus, ventral part",0,0,0,0.042456,0.044281,0.086737,0,0
"Primary somatosensory area, mouth, layer 6b",0,0,0,0.042271,0.038218,0.080489,0,0
internal capsule,0,0,0,0.856017,0.921797,1.777814,0,0
Principal sensory nucleus of the trigeminal,0,0,0,0.338747,0.363676,0.702423,0,0
"Primary somatosensory area, trunk, layer 6a",0,0,0,0.109042,0.113497,0.222539,0,0
"Superior colliculus, motor related, intermediate gray layer",0,0,0,0.993345,0.994339,1.987684,0,0
Interfascicular nucleus raphe,0,0,0,0.039956,0.039135,0.079091,0,0
Parataenial nucleus,0,0,0,0.139152,0.141528,0.28068,0,0
"Superior colliculus, motor related, intermediate white layer",0,0,0,1.147234,1.154768,2.302002,0,0
Induseum griseum,0,0,0,0.052642,0.055367,0.108009,0,0
Anterior amygdalar area,0,0,0,0.212788,0.232922,0.44571,0,0
"Superior colliculus, motor related, deep gray layer",0,0,0,0.707428,0.702267,1.409695,0,0
Intergeniculate leaflet of the lateral geniculate complex,0,0,0,0.032568,0.042492,0.07506,0,0
"Entorhinal area, lateral part, layer 6a",0,0,0,0.444698,0.402999,0.847697,0,0
"Periventricular hypothalamic nucleus, anterior part",0,0,0,0.042951,0.052017,0.094968,0,0
"Primary visual area, layer 6a",0,0,0,0.462055,0.455432,0.917487,0,0
Oculomotor nucleus,0,0,0,0.016549,0.016416,0.032965,0,0
"posteromedial visual area, layer 2/3",0,0,0,0.095467,0.126903,0.22237,0,0
"Superior colliculus, motor related, deep white layer",0,0,0,0.194603,0.19209,0.386693,0,0
Precommissural nucleus,0,0,0,0.082829,0.084484,0.167313,0,0
"Entorhinal area, lateral part, layer 3",0,0,0,0.838509,0.697689,1.536198,0,0
medial forebrain bundle,0,0,0,0.020969,0.021228,0.042197,0,0
Nucleus accumbens,0,0,0,1.767578,1.808859,3.576437,0,0
Medial terminal nucleus of the accessory optic tract,0,0,0,0.022944,0.021534,0.044478,0,0
Intermediodorsal nucleus of the thalamus,0,0,0,0.121673,0.126837,0.24851,0,0
medial longitudinal fascicle,0,0,0,0.071811,0.071224,0.143035,0,0
Anterodorsal nucleus,0,0,0,0.096578,0.096201,0.192779,0,0
Lateral terminal nucleus of the accessory optic tract,0,0,0,0.007881,0.00711,0.014991,0,0
Interstitial nucleus of Cajal,0,0,0,0.038835,0.03808,0.076915,0,0
"Frontal pole, layer 1",0,0,0,0.062736,0.070306,0.133042,0,0
Anterodorsal preoptic nucleus,0,0,0,0.042585,0.047297,0.089882,0,0
"Lateral visual area, layer 6a",0,0,0,0.080631,0.079217,0.159848,0,0
Dorsal terminal nucleus of the accessory optic tract,0,0,0,0.005266,0.005209,0.010475,0,0
middle cerebellar peduncle,0,0,0,0.358092,0.382725,0.740817,0,0
Inferior olivary complex,0,0,0,0.068444,0.052127,0.120571,0,0
"Prelimbic area, layer 6a",0,0,0,0.190228,0.182117,0.372345,0,0
Interposed nucleus,0,0,0,0.48534,0.455226,0.940566,0,0
motor root of the trigeminal nerve,0,0,0,0.01726,0.017971,0.035231,0,0
"Temporal association areas, layer 1",0,0,0,0.271954,0.299195,0.571149,0,0
subependymal zone,0,0,0,0.07438,0.065508,0.139888,0,0
Interpeduncular nucleus,0,0,0,0.004836,0.004579,0.009415,0,0
nigrostriatal tract,0,0,0,0.054885,0.052002,0.106887,0,0
Inferior salivatory nucleus,0,0,0,0.003778,0.003714,0.007492,0,0
choroid plexus,0,0,0,0.705657,0.726699,1.432356,0,0
"Primary somatosensory area, lower limb, layer 2/3",0,0,0,0.317231,0.298182,0.615413,0,0
Trochlear nucleus,0,0,0,0.003791,0.003628,0.007419,0,0
optic chiasm,0,0,0,0.139754,0.126761,0.266515,0,0
"Agranular insular area, posterior part, layer 1",0,0,0,0.257289,0.30767,0.564959,0,0
"Lateral visual area, layer 6b",0,0,0,0.015329,0.015356,0.030685,0,0
"Superior olivary complex, periolivary region",0,0,0,0.200964,0.224533,0.425497,0,0
Koelliker-Fuse subnucleus,0,0,0,0.054366,0.06497,0.119336,0,0
optic tract,0,0,0,0.2804,0.292308,0.572708,0,0
Lateral amygdalar nucleus,0,0,0,0.237515,0.40875,0.646265,0,0
"Prelimbic area, layer 6b",0,0,0,0.009302,0.009071,0.018373,0,0
"Entorhinal area, lateral part, layer 5",0,0,0,0.702921,0.62325,1.326171,0,0
cerebral aqueduct,0,0,0,0.15838,0.166695,0.325075,0,0
"Nucleus ambiguus, ventral division",0,0,0,0.014272,0.014986,0.029258,0,0
fourth ventricle,0,0,0,0.329128,0.334891,0.664019,0,0
Locus ceruleus,0,0,0,0.008294,0.007594,0.015888,0,0
Paraventricular nucleus of the thalamus,0,0,0,0.274136,0.288358,0.562494,0,0
Lateral dorsal nucleus of thalamus,0,0,0,0.581124,0.594029,1.175153,0,0
"Dorsal auditory area, layer 6a",0,0,0,0.070591,0.06858,0.139171,0,0
posterior commissure,0,0,0,0.02287,0.022209,0.045079,0,0
Anterior olfactory nucleus,0,0,0,2.035011,2.223954,4.258965,0,0
"central canal, spinal cord/medulla",0,0,0,0.000372,0.00037,0.000742,0,0
Nucleus prepositus,0,0,0,0.143607,0.135674,0.279281,0,0
"Prelimbic area, layer 1",0,0,0,0.137057,0.132214,0.269271,0,0
Retrochiasmatic area,0,0,0,0.087289,0.078325,0.165614,0,0
Ventral part of the lateral geniculate complex,0,0,0,0.172451,0.226918,0.399369,0,0
"Gustatory areas, layer 2/3",0,0,0,0.306156,0.314323,0.620479,0,0
Lateral habenula,0,0,0,0.18295,0.196669,0.379619,0,0
"Gustatory areas, layer 5",0,0,0,0.260614,0.259352,0.519966,0,0
"Accessory olfactory bulb, glomerular layer",0,0,0,0.039455,0.04153,0.080985,0,0
Rhomboid nucleus,0,0,0,0.069254,0.073434,0.142688,0,0
pyramid,0,0,0,0.069504,0.055292,0.124796,0,0
"Accessory olfactory bulb, granular layer",0,0,0,0.05905,0.069568,0.128618,0,0
Rostral linear nucleus raphe,0,0,0,0.025708,0.02564,0.051348,0,0
pyramidal decussation,0,0,0,0.012369,0.012234,0.024603,0,0
"Primary somatosensory area, barrel field, layer 2/3",0,0,0,0.627822,0.660715,1.288537,0,0
"Accessory olfactory bulb, mitral layer",0,0,0,0.070415,0.079047,0.149462,0,0
Area postrema,0,0,0,0.038705,0.039193,0.077898,0,0
Lateral mammillary nucleus,0,0,0,0.026534,0.026416,0.05295,0,0
"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.210397,0.231001,0.441398,0,0
Anterior pretectal nucleus,0,0,0,0.759063,0.804447,1.56351,0,0
Superior vestibular nucleus,0,0,0,0.172547,0.176805,0.349352,0,0
Lateral posterior nucleus of the thalamus,0,0,0,0.69803,0.746854,1.444884,0,0
Arcuate hypothalamic nucleus,0,0,0,0.238382,0.240163,0.478545,0,0
Lateral preoptic area,0,0,0,0.224947,0.227685,0.452632,0,0
sensory root of the trigeminal nerve,0,0,0,0.1959,0.194236,0.390136,0,0
Nucleus raphe pallidus,0,0,0,0.004628,0.004162,0.00879,0,0
Anterior tegmental nucleus,0,0,0,0.024917,0.023987,0.048904,0,0
"Anterolateral visual area, layer 5",0,0,0,0.080388,0.07816,0.158548,0,0
solitary tract,0,0,0,0.008596,0.008013,0.016609,0,0
Nucleus raphe pontis,0,0,0,0.055478,0.05503,0.110508,0,0
"Dorsal auditory area, layer 6b",0,0,0,0.01114,0.011032,0.022172,0,0
"Posterior auditory area, layer 6a",0,0,0,0.02759,0.027011,0.054601,0,0
"Lateral septal nucleus, caudal (caudodorsal) part",0,0,0,0.253142,0.305756,0.558898,0,0
"Primary auditory area, layer 2/3",0,0,0,0.223485,0.223853,0.447338,0,0
"Dorsal auditory area, layer 5",0,0,0,0.143784,0.135654,0.279438,0,0
Anteroventral nucleus of thalamus,0,0,0,0.221743,0.229917,0.45166,0,0
"posteromedial visual area, layer 6a",0,0,0,0.080795,0.072837,0.153632,0,0
"Lateral septal nucleus, rostral (rostroventral) part",0,0,0,0.761595,0.871578,1.633173,0,0
"Nucleus of the lateral olfactory tract, molecular layer",0,0,0,0.045595,0.051565,0.09716,0,0
Reticular nucleus of the thalamus,0,0,0,0.656588,0.700663,1.357251,0,0
Anteroventral preoptic nucleus,0,0,0,0.037628,0.038275,0.075903,0,0
"Lateral septal nucleus, ventral part",0,0,0,0.252078,0.262855,0.514933,0,0
"Nucleus of the lateral olfactory tract, pyramidal layer",0,0,0,0.061438,0.069946,0.131384,0,0
"Posterolateral visual area, layer 2/3",0,0,0,0.078097,0.068492,0.146589,0,0
Nucleus sagulum,0,0,0,0.041693,0.051822,0.093515,0,0
"Retrosplenial area, dorsal part, layer 6a",0,0,0,0.359461,0.383985,0.743446,0,0
"Retrosplenial area, lateral agranular part, layer 6b",0,0,0,0.018758,0.019464,0.038222,0,0
"Anteromedial visual area, layer 1",0,0,0,0.033594,0.065889,0.099483,0,0
Suprachiasmatic nucleus,0,0,0,0.041412,0.03847,0.079882,0,0
Bed nucleus of the anterior commissure,0,0,0,0.00367,0.003856,0.007526,0,0
"Orbital area, ventrolateral part, layer 2/3",0,0,0,0.174332,0.142643,0.316975,0,0
Bed nucleus of the accessory olfactory tract,0,0,0,0.011215,0.012956,0.024171,0,0
"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.207874,0.233191,0.441065,0,0
Magnocellular nucleus,0,0,0,0.169157,0.179246,0.348403,0,0
stria terminalis,0,0,0,0.135515,0.146115,0.28163,0,0
"Basolateral amygdalar nucleus, anterior part",0,0,0,0.256307,0.339701,0.596008,0,0
"Prelimbic area, layer 2/3",0,0,0,0.120489,0.114591,0.23508,0,0
"Primary visual area, layer 6b",0,0,0,0.073397,0.071664,0.145061,0,0
Magnocellular reticular nucleus,0,0,0,0.374037,0.320229,0.694266,0,0
Septofimbrial nucleus,0,0,0,0.221887,0.250803,0.47269,0,0
"Basolateral amygdalar nucleus, posterior part",0,0,0,0.280639,0.382454,0.663093,0,0
"Agranular insular area, posterior part, layer 6a",0,0,0,0.137505,0.158746,0.296251,0,0
Supragenual nucleus,0,0,0,0.012244,0.011587,0.023831,0,0
"Primary motor area, Layer 1",0,0,0,0.658212,0.643972,1.302184,0,0
Subgeniculate nucleus,0,0,0,0.011434,0.016426,0.02786,0,0
Suprageniculate nucleus,0,0,0,0.08735,0.093111,0.180461,0,0
"Basomedial amygdalar nucleus, anterior part",0,0,0,0.301158,0.347295,0.648453,0,0
"Retrosplenial area, dorsal part, layer 6b",0,0,0,0.015969,0.016684,0.032653,0,0
Accessory supraoptic group,0,0,0,0.003987,0.003539,0.007526,0,0
Septohippocampal nucleus,0,0,0,0.013633,0.014612,0.028245,0,0
"Basomedial amygdalar nucleus, posterior part",0,0,0,0.293383,0.379955,0.673338,0,0
"Perirhinal area, layer 6a",0,0,0,0.023108,0.021864,0.044972,0,0
superior colliculus commissure,0,0,0,0.011777,0.011934,0.023711,0,0
Subfornical organ,0,0,0,0.012242,0.013218,0.02546,0,0
Substantia innominata,0,0,0,1.371668,1.431434,2.803102,0,0
"Agranular insular area, posterior part, layer 5",0,0,0,0.322366,0.346343,0.668709,0,0
Subparaventricular zone,0,0,0,0.078005,0.073427,0.151432,0,0
supraoptic commissures,0,0,0,0.011224,0.010297,0.021521,0,0
Bed nuclei of the stria terminalis,0,0,0,0.558951,0.559464,1.118415,0,0
"Agranular insular area, posterior part, layer 6b",0,0,0,0.005418,0.006879,0.012297,0,0
Preparasubthalamic nucleus,0,0,0,0.006364,0.005959,0.012323,0,0
Mediodorsal nucleus of thalamus,0,0,0,0.830279,0.86526,1.695539,0,0
"Prelimbic area, layer 5",0,0,0,0.345623,0.315746,0.661369,0,0
Parasubthalamic nucleus,0,0,0,0.078226,0.076334,0.15456,0,0
Submedial nucleus of the thalamus,0,0,0,0.196633,0.192235,0.388868,0,0
"Perirhinal area, layer 6b",0,0,0,0.005302,0.00516,0.010462,0,0
Infracerebellar nucleus,0,0,0,0.036995,0.037728,0.074723,0,0
"Substantia nigra, compact part",0,0,0,0.109294,0.101892,0.211186,0,0
"Posterolateral visual area, layer 6a",0,0,0,0.040721,0.042382,0.083103,0,0
cuneate fascicle,0,0,0,0.012083,0.014281,0.026364,0,0
"Substantia nigra, reticular part",0,0,0,0.730416,0.681971,1.412387,0,0
Supraoptic nucleus,0,0,0,0.019948,0.018737,0.038685,0,0
"Posterolateral visual area, layer 6b",0,0,0,0.003151,0.003432,0.006583,0,0
ventral tegmental decussation,0,0,0,0.016972,0.016911,0.033883,0,0
"Anteromedial visual area, layer 4",0,0,0,0.033156,0.03034,0.063496,0,0
Medial amygdalar nucleus,0,0,0,0.777991,0.905183,1.683174,0,0
"Orbital area, lateral part, layer 2/3",0,0,0,0.209283,0.229718,0.439001,0,0
"Lateral visual area, layer 1",0,0,0,0.080176,0.074899,0.155075,0,0
"Subparafascicular nucleus, parvicellular part",0,0,0,0.085036,0.082911,0.167947,0,0
Field CA2,0,0,0,0.204619,0.200478,0.405097,0,0
medial corticohypothalmic tract,0,0,0,0.005433,0.005723,0.011156,0,0
"Spinal nucleus of the trigeminal, caudal part",0,0,0,1.139425,1.155989,2.295414,0,0
"Retrosplenial area, ventral part, layer 2/3",0,0,0,0.393038,0.398255,0.791293,0,0
"Anteromedial visual area, layer 5",0,0,0,0.129601,0.120465,0.250066,0,0
"Retrosplenial area, dorsal part, layer 2/3",0,0,0,0.394581,0.426942,0.821523,0,0
"Spinal nucleus of the trigeminal, interpolar part",0,0,0,0.897347,0.872781,1.770128,0,0
"Orbital area, lateral part, layer 6a",0,0,0,0.174608,0.159932,0.33454,0,0
"Anteromedial visual area, layer 6b",0,0,0,0.013589,0.013148,0.026737,0,0
"Retrosplenial area, dorsal part, layer 1",0,0,0,0.29956,0.329314,0.628874,0,0
dorsal hippocampal commissure,0,0,0,0.440646,0.437232,0.877878,0,0
"Spinal nucleus of the trigeminal, oral part",0,0,0,0.308664,0.30392,0.612584,0,0
"Orbital area, lateral part, layer 1",0,0,0,0.125702,0.155841,0.281543,0,0
ventral hippocampal commissure,0,0,0,0.036469,0.043982,0.080451,0,0
"Primary somatosensory area, upper limb, layer 1",0,0,0,0.17998,0.178007,0.357987,0,0
"Basolateral amygdalar nucleus, ventral part",0,0,0,0.163651,0.198544,0.362195,0,0
Median preoptic nucleus,0,0,0,0.018627,0.01902,0.037647,0,0
"Posterior auditory area, layer 6b",0,0,0,0.006027,0.006036,0.012063,0,0
Midbrain trigeminal nucleus,0,0,0,0.005252,0.004938,0.01019,0,0
"Primary somatosensory area, trunk, layer 6b",0,0,0,0.015709,0.016493,0.032202,0,0
Field CA3,0,0,0,2.578555,2.626235,5.20479,0,0
"posteromedial visual area, layer 6b",0,0,0,0.01484,0.013442,0.028282,0,0
Subthalamic nucleus,0,0,0,0.085932,0.085711,0.171643,0,0
"Primary somatosensory area, lower limb, layer 6a",0,0,0,0.285346,0.275456,0.560802,0,0
brachium of the inferior colliculus,0,0,0,0.089556,0.093882,0.183438,0,0
Medial habenula,0,0,0,0.16076,0.178422,0.339182,0,0
"Orbital area, medial part, layer 1",0,0,0,0.151634,0.12119,0.272824,0,0
"Orbital area, lateral part, layer 6b",0,0,0,0.015758,0.015052,0.03081,0,0
"posteromedial visual area, layer 4",0,0,0,0.049545,0.044816,0.094361,0,0
dorsal acoustic stria,0,0,0,0.00617,0.006518,0.012688,0,0
"Primary somatosensory area, lower limb, layer 6b",0,0,0,0.025302,0.024825,0.050127,0,0
Cerebellum,0,0,0,0.3665,0.368358,0.734858,0,0
Medial preoptic nucleus,0,0,0,0.211026,0.210135,0.421161,0,0
"Ventral auditory area, layer 6a",0,0,0,0.099421,0.100682,0.200103,0,0
Medial preoptic area,0,0,0,0.241528,0.242154,0.483682,0,0
Supramammillary nucleus,0,0,0,0.117643,0.11192,0.229563,0,0
"Entorhinal area, medial part, dorsal zone, layer 1",0,0,0,0.541638,0.472747,1.014385,0,0
"Dorsal auditory area, layer 1",0,0,0,0.100271,0.108932,0.209203,0,0
dorsal fornix,0,0,0,0.018756,0.020908,0.039664,0,0
Medial pretectal area,0,0,0,0.016971,0.01632,0.033291,0,0
dorsal limb,0,0,0,0.04292,0.056244,0.099164,0,0
"Retrosplenial area, ventral part, layer 1",0,0,0,0.360911,0.362951,0.723862,0,0
"Entorhinal area, medial part, dorsal zone, layer 2",0,0,0,0.561494,0.487219,1.048713,0,0
"Central amygdalar nucleus, capsular part",0,0,0,0.104862,0.130166,0.235028,0,0
"Retrosplenial area, dorsal part, layer 4",0,0,0,1.00E-06,1.00E-06,2.00E-06,0,0
"Central amygdalar nucleus, lateral part",0,0,0,0.089219,0.110444,0.199663,0,0
dorsal spinocerebellar tract,0,0,0,0.05896,0.058867,0.117827,0,0
"Infralimbic area, layer 2/3",0,0,0,0.043378,0.043576,0.086954,0,0
"Primary somatosensory area, nose, layer 1",0,0,0,0.164697,0.202703,0.3674,0,0
"Central amygdalar nucleus, medial part",0,0,0,0.283234,0.322246,0.60548,0,0
Medial septal nucleus,0,0,0,0.173637,0.181007,0.354644,0,0
"posteromedial visual area, layer 5",0,0,0,0.148649,0.133364,0.282013,0,0
Postpiriform transition area,0,0,0,0.814988,0.808729,1.623717,0,0
"Lateral visual area, layer 4",0,0,0,0.070043,0.06546,0.135503,0,0
Tegmental reticular nucleus,0,0,0,0.36713,0.354964,0.722094,0,0
Central lateral nucleus of the thalamus,0,0,0,0.228753,0.220092,0.448845,0,0
Accessory facial motor nucleus,0,0,0,0.004999,0.005039,0.010038,0,0
"Primary somatosensory area, upper limb, layer 4",0,0,0,0.230521,0.217149,0.44767,0,0
